Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"BRIOCHE PASQUIER CHARANCIEU","333748564","","10.71A","Manufacturing","Manufacturing: Food, Beverages and Tobacco","ZI LES EPLAGNES 38490 CHARANCIEU","38490","38","84","32","1","2024",123409719
"L'IMPERIAL PALACE","343925574","","92.00Z","Arts, entertainment and recreation","Arts, Entertainment and Recreation","ALL DE L IMPERIAL 74000 ANNECY","74000","74","84","32","5","2024",28848967
"ALPHAFORM","302238829","","22.22Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","291 ROUTE DES PIERRELLES 26240 BEAUSEMBLANT","26240","26","84","31","1","2024",95831699
"ELECTRICFIL AUTOMOTIVE","323438515","","26.51B","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","ZI OUEST 77 ALLEE DES GRANDES COMBES 01700 BEYNOST","01700","01","84","41","3","2023",162419154
"DUQUEINE GROUP","323782169","","82.11Z","Administrative and support service activities","Administrative and Support","PARC D ACTIVITE AVENUE LAVOISIER 01600 MASSIEUX","01600","01","84","22","4","2024",106158000
"MECALAC FRANCE","304653553","","28.92Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","PAE LES GLAISINS 2 AV DU PRE DE CHALLES 74000 ANNECY","74000","74","84","32","1","2024",113982893
"ISERE DISTRIBUTION","304688922","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","GAMEUX 38160 CHATTE","38160","38","84","32","3","2024",88279293
"BRIOCHE PASQUIER ETOILE","305689895","","10.71A","Manufacturing","Manufacturing: Food, Beverages and Tobacco","475 ROUTE DE PORTES-LES-VALENCE 26800 ETOILE-SUR-RHONE","26800","26","84","32","1","2024",114877272
"SAS AVENIR LAND","311285068","","93.21Z","Arts, entertainment and recreation","Arts, Entertainment and Recreation","LES AVENIERES 1380 ROUTE DE LA CORNEILLE 38630 LES AVENIERES VEYRINS-THUELLIN","38630","38","84","31","1","2025",26372075
"MEYZIEUDIS","379633522","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","RUE DE LA REPUBLIQUE 69330 MEYZIEU","69330","69","84","31","3","2024",91349886
"OPTEVEN ASSURANCES","379954886","","65.12Z","Financial and insurance activities","Financial and Insurance","10 RUE OLYMPE DE GOUGES 69100 VILLEURBANNE","69100","69","84","32","4","2024",153123517
"BIOMET FRANCE","344472246","","32.50A","Manufacturing","Manufacturing: Furniture and Other","PLATEAU 352 CHEMIN DU PLATEAU DE LAUTAGNE 26000 VALENCE","26000","26","84","32","11","2024",75667115
"C-TEC CONSTELLIUM TECHNOLOGY CENTER","348366410","","72.19Z","Professional, scientific and technical activities","Professional: Research and Development","PARC ECONOMIQUE CENTR'ALP 725 RUE ARISTIDE BERGES 38340 VOREPPE","38340","38","84","32","6","2024",58548610
"TEISSEIRE-FRANCE SAS","057504599","","11.07B","Manufacturing","Manufacturing: Food, Beverages and Tobacco","ZONE INDUSTRIELLE 482 AVENUE AMBROISE CROIZAT 38920 CROLLES","38920","38","84","32","10","2024",221322618
"ALFA LAVAL VICARB","059500439","","28.25Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","RUE RIF TRANCHARD 38120 FONTANIL-CORNILLON","38120","38","84","31","5","2024",76561524
"WINOA","061500864","","24.10Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","528 AVENUE DE SAVOIE 38570 LE CHEYLAS","38570","38","84","31","1","2023",152852930
"SAINT JEAN INDUSTRIES","395047426","","24.53Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","180 RUE DES FRERES LUMIERE 69220 BELLEVILLE-EN-BEAUJOLAIS","69220","69","84","32","2","2024",273591000
"SOCIETE DES EAUX DE VOLVIC (SEV)","395780059","","11.07A","Manufacturing","Manufacturing: Food, Beverages and Tobacco","ZI DU CHANCET 63530 VOLVIC","63530","63","84","41","4","2025",558315640
